ID da composição;Descrição da composição SKU FILHO;Código da composição SKU FILHO;ID do componente;Descrição do componente SKU PAI;Código do componente SKU PAI;Quantidade Unidades Kit
15887886519;Presente de Natal Manta em Microfibra Solteiro Cinza;800001-CHCH3;15856917680;Manta Soft Microfibra Chumbo - Vários Tamanhos Solteiro;800001-CH;1
15887886525;Presente de Natal Manta em Microfibra Solteiro Marrom;800001-TBCH3;15857295949;Manta Soft Microfibra Tabaco - Vários Tamanhos Solteiro;800001-TB;1
15887886522;Presente de Natal Manta Microfibra Solteiro Caqui;800001-CQCH3;15858687673;Manta Soft Microfibra Caqui - Vários Tamanhos Solteiro;800001-CQ;1
15813952285;Presente de Natal Suplat Disco Mdf Cru Diâmetro 35cm;CD0988CH3;15814654929;Disco de MDF para Sousplat;MDF;1
16003020799;Presente de Natal Tapete de Sala Chevron Misson 1,35X2,50m Caramelo;CD1209CH2;15971498789;Tapete Missoni - Caramelo (3 Tamanhos) 1,35m x 2,50m;CD1209;1
16003020787;Presente de Natal Tapete de Sala Classic Suprema 1,35X2,50m Caramelo;CD1206CH2;15971498784;Tapete Classic Suprema - Caramelo (3 Tamanhos) 1,35m x 2,50m;CD1206;1
16003020768;Presente de Natal Tapete de Sala Classic Suprema 1,35X2,50m Preto;CD1203CH2;15971498779;Tapete Classic Suprema - Preto (3 Tamanhos) 1,35m x 2,50m;CD1203;1
16003020767;Presente de Natal Tapete Sala Quarto Classic Suprema 1,35X2,5m Preto;CD1203CH1;15971498779;Tapete Classic Suprema - Preto (3 Tamanhos) 1,35m x 2,50m;CD1203;1
15813942229;Presente de Natal Vedação de Porta 80 cm Impermeável Cinza;3100080-CZCH3;15812372070;Veda Porta Prime Impermeável - Cinza - Vários tamanhos Cinza 90Cm;3100080-CZ;1
15869626700;Presente de Natal Vedação de Porta 80 cm Impermeável Cinza;3100080_CZCH3;15812372070;Veda Porta Prime Impermeável - Cinza - Vários tamanhos Cinza 90Cm;3100080-CZ;1
15813942237;Presente de Natal Vedação de Porta 90 cm Impermeável Cinza;3100090-CZCH3;15813951899;Protetor de Porta Casa Impermeável 90cm Cinza Premium;3100090-CZ;1
15869626710;Presente de Natal Vedação de Porta 90 cm Impermeável Cinza;3100090_CZCH3;15813951899;Protetor de Porta Casa Impermeável 90cm Cinza Premium;3100090-CZ;1
15813953499;Presente de Natal Xale Sofá Grécia com Almofadas Exclusivo;VA47877CACH3;15898012172;Xale (do Kit) - Grécia;XA478GRE;1
15813953499;Presente de Natal Xale Sofá Grécia com Almofadas Exclusivo;VA47877CACH3;15875910930;Capa para Almofada Ornare - Grécia;CD1241;2
15813953499;Presente de Natal Xale Sofá Grécia com Almofadas Exclusivo;VA47877CACH3;15812373029;Enchimento para Almofada 50 x 50cm;BE0004;2
16103310920;Presente Natal  8 Capa Cadeira Charles Eames Modern Geo Capuccino;CD1260-8CH3;16088509786;Capa para Cadeira Eiffel - Geo Capuccino 1 Unidade;CD1260;8
15813942079;Presente Natal Capa Almofada 2 Unidades Cetim Dourado Luxo;05101-DOURADO-2CH3;15812372045;Capa Para Almofada 1 Unidade Cetim Dourado Premiuma;05101-DOURADO;2
15813942082;Presente Natal Capa Almofada 4 Unidades Cetim Dourado Luxo;05101-DOURADO-4CH3;15812372045;Capa Para Almofada 1 Unidade Cetim Dourado Premiuma;05101-DOURADO;4
